"execution_mode","requested_eligibility","batch","batch_size","start_index","end_index","selected_record_count","display_rank","fsq_place_id","name","english_name","category","catalog_classification","eligibility","selection_stratum","wikidata_id","proposed_wikidata_id","japanese_wikipedia_title","english_wikipedia_title","match_confidence","coordinate_distance_m","coordinate_radius_m","coordinate_policy","queries_attempted","candidate_count","candidate_summary","short_description","image_available","image_license","attribution","prominence_signals","score_components","penalties","final_score","match_status"
"eligibility_batch","high_wikimedia_likelihood","3","250","500","749","250","6","4b64e8a7f964a52022d92ae3","地下鉄博物館","Tokyo Metro Museum","culture","tokyo_core","high_wikimedia_likelihood","eligibility_high_batch_003","Q11424081","Q11424081","地下鉄博物館","Tokyo Metro Museum","1","23.81727464029652","400","building_or_individual_attraction_400m","wikidata_ja:地下鉄博物館 | wikidata_alternate:地下鉄博物館 東京 | jawiki_search:地下鉄博物館 | nearby_wikidata:35.66354,139.873602,1200m","24","Q11424081:109:accepted: | Q6373:32:rejected:weak_name_evidence+coordinates_too_far | Q74940:32:rejected:weak_name_evidence+coordinates_too_far | Q11639480:32:rejected:weak_name_evidence+coordinates_too_far | Q309388:32:rejected:weak_name_evidence+coordinates_too_far | Q126762:31:rejected:substring_only_name_evidence+business_entity_type_incompatible | Q112008991:20:rejected:weak_name_evidence+business_entity_type_incompatible | Q129087565:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q111866216:12:rejected:weak_name_evidence+business_entity_type_incompatible | Q11366978:11:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far | Q11528297:11:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far | Q11621013:11:rejected:weak_name_evidence+business_entity_type_incompatible+coordinates_too_far | Q97192602:11:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far | Q11643513:11:rejected:weak_name_evidence+business_entity_type_incompatible+coordinates_too_far | Q11620997:6:rejected:weak_name_evidence+closed_or_destroyed_entity_incompatible+coordinates_too_far | Q81917517:6:rejected:weak_name_evidence+business_entity_type_incompatible+coordinates_too_far | Q11551050:6:rejected:weak_name_evidence+business_entity_type_incompatible+coordinates_too_far | Q97191905:6:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far | Q97192398:6:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far | Q118353174:5:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far | Q118354745:5:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far | Q118358825:5:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far | Q118358866:5:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far | Q81917512:0:rejected:weak_name_evidence+business_entity_type_incompatible+coordinates_too_far","railway museum in Edogawa, Tokyo","true","CC BY-SA 3.0","掬茶 — CC BY-SA 3.0","verified_wikidata_entity | english_wikipedia_article | japanese_wikipedia_article | language_sitelinks | wikimedia_commons | wikidata_official_website | notable_entity_type","fsq_base_travel_score:36.480000000000004 | capped_objective_prominence:13.4 | category_significance:24 | geographic_relevance:10 | name_quality:6","","89.9","verified"
"eligibility_batch","high_wikimedia_likelihood","3","250","500","749","250","283","4b6e4af4f964a520a4b62ce3","「食と農」の博物館","","culture","tokyo_core","high_wikimedia_likelihood","eligibility_high_batch_003","","Q909974","","","0.316","231.55915470616543","400","building_or_individual_attraction_400m","wikidata_ja:「食と農」の博物館 | wikidata_alternate:「食と農」 博物館 | wikidata_alternate:「食と農」の博物館 東京 | jawiki_search:「食と農」の博物館 | nearby_wikidata:35.63899937952522,139.6318021416664,1200m","24","Q909974:31:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11640126:26:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11667807:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11525169:14:rejected:weak_name_evidence+closed_or_destroyed_entity_incompatible | Q96273789:14:rejected:weak_name_evidence+museum_entity_type_incompatible | Q97188658:14:rejected:weak_name_evidence+museum_entity_type_incompatible | Q96273485:14:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11525171:11:rejected:weak_name_evidence+business_entity_type_incompatible+coordinates_too_far | Q114881954:11:rejected:weak_name_evidence+business_entity_type_incompatible+coordinates_too_far | Q81964057:11:rejected:weak_name_evidence+business_entity_type_incompatible+coordinates_too_far | Q11362083:11:rejected:weak_name_evidence+business_entity_type_incompatible+coordinates_too_far | Q11392149:11:rejected:weak_name_evidence+business_entity_type_incompatible+coordinates_too_far | Q28692658:11:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far | Q11668424:11:rejected:weak_name_evidence+business_entity_type_incompatible+coordinates_too_far | Q81916774:11:rejected:weak_name_evidence+business_entity_type_incompatible+coordinates_too_far | Q24899911:11:rejected:weak_name_evidence+business_entity_type_incompatible+coordinates_too_far | Q11537657:11:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far | Q11537729:11:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far | Q106463099:11:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far | Q11362082:11:rejected:weak_name_evidence+business_entity_type_incompatible+coordinates_too_far | Q106852466:11:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far | Q11362067:11:rejected:weak_name_evidence+business_entity_type_incompatible+coordinates_too_far | Q38276497:11:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far | Q28685628:6:rejected:weak_name_evidence+business_entity_type_incompatible+coordinates_too_far","","false","","","","fsq_base_travel_score:36.480000000000004 | capped_objective_prominence:0 | category_significance:24 | geographic_relevance:10 | name_quality:6","","76.5","rejected"
"eligibility_batch","high_wikimedia_likelihood","3","250","500","749","250","16","4b710430f964a52067372de3","消防博物館 (東京消防庁 消防防災資料センター)","Fire Museum","culture","tokyo_core","high_wikimedia_likelihood","eligibility_high_batch_003","Q11559505","Q11559505","消防博物館","","0.969","19.267279319801133","400","building_or_individual_attraction_400m","wikidata_ja:消防博物館 (東京消防庁 消防防災資料センター) | wikidata_alternate:消防博物館 | wikidata_alternate:消防博物館 東京消防庁 消防防災資料センター | wikidata_alternate:東京消防庁 消防防災資料センター | jawiki_search:消防博物館 (東京消防庁 消防防災資料センター) | nearby_wikidata:35.688137,139.720096,1200m","27","Q11559505:95:accepted: | Q11524018:41:rejected:weak_name_evidence | Q1073207:31:rejected:weak_name_evidence+business_entity_type_incompatible | Q3108361:31:rejected:weak_name_evidence+museum_entity_type_incompatible | Q24864654:26:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11151730:24:rejected:weak_name_evidence+coordinates_too_far | Q107922273:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11420137:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q11479736:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11493449:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q106836803:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q21019163:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q107922269:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11613801:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q106836611:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q107922242:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11668260:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q120973137:17:rejected:weak_name_evidence+museum_entity_type_incompatible | Q120973013:17:rejected:weak_name_evidence+museum_entity_type_incompatible | Q120972922:17:rejected:weak_name_evidence+museum_entity_type_incompatible | Q120970911:17:rejected:weak_name_evidence+museum_entity_type_incompatible | Q269634:14:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far | Q1460420:14:rejected:substring_only_name_evidence+non_place_entity_type_incompatible | Q1162928:14:rejected:substring_only_name_evidence+museum_entity_type_incompatible | Q11612591:14:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11786880:6:rejected:substring_only_name_evidence+non_place_entity_type_incompatible | Q11151728:0:rejected:substring_only_name_evidence+museum_entity_type_incompatible","museum in Tokyo, Japan","true","Public domain","Ypy31 — Public domain","verified_wikidata_entity | japanese_wikipedia_article | language_sitelinks | wikimedia_commons | wikidata_official_website | notable_entity_type","fsq_base_travel_score:36.480000000000004 | capped_objective_prominence:9.2 | category_significance:24 | geographic_relevance:10 | name_quality:6","","85.7","verified"
"eligibility_batch","high_wikimedia_likelihood","3","250","500","749","250","33","4b710841f964a520c4372de3","釣り文化資料館","Tsuri Bunka Shiryoukan","culture","tokyo_core","high_wikimedia_likelihood","eligibility_high_batch_003","Q104698254","Q104698254","","","0.918","4.255080322745762","400","building_or_individual_attraction_400m","wikidata_ja:釣り文化資料館 | wikidata_alternate:釣り文化資料館 東京 | jawiki_search:釣り文化資料館 | nearby_wikidata:35.69093128894601,139.7193943357298,1200m","25","Q104698254:90:accepted: | Q11524018:41:rejected:weak_name_evidence | Q107922269:31:rejected:weak_name_evidence+museum_entity_type_incompatible | Q107922268:31:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11493449:31:rejected:weak_name_evidence+museum_entity_type_incompatible | Q120972491:25:rejected:weak_name_evidence+museum_entity_type_incompatible | Q120972922:25:rejected:weak_name_evidence+museum_entity_type_incompatible | Q106836791:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q107922242:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11613801:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11314355:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q11527680:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q107922273:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11495420:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q104481217:20:rejected:weak_name_evidence+business_entity_type_incompatible | Q120973909:17:rejected:weak_name_evidence+museum_entity_type_incompatible | Q120973013:17:rejected:weak_name_evidence+museum_entity_type_incompatible | Q120973137:17:rejected:weak_name_evidence+museum_entity_type_incompatible | Q120971735:17:rejected:weak_name_evidence+museum_entity_type_incompatible | Q81916402:17:rejected:weak_name_evidence+business_entity_type_incompatible | Q481718:14:rejected:weak_name_evidence+non_place_entity_type_incompatible | Q1194394:14:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far | Q11657359:14:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far | Q11416500:14:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far | Q11475386:14:rejected:weak_name_evidence+museum_entity_type_incompatible","","false","","","verified_wikidata_entity | wikidata_official_website | notable_entity_type","fsq_base_travel_score:36.480000000000004 | capped_objective_prominence:5 | category_significance:24 | geographic_relevance:10 | name_quality:6","","81.5","verified"
"eligibility_batch","high_wikimedia_likelihood","3","250","500","749","250","11","4b7396b7f964a52021b52de3","世田谷文学館","Setagaya Literary Museum","culture","tokyo_core","high_wikimedia_likelihood","eligibility_high_batch_003","Q11362100","Q11362100","世田谷文学館","Setagaya Literary Museum","1","48.512696390927175","400","building_or_individual_attraction_400m","wikidata_ja:世田谷文学館 | wikidata_alternate:世田谷文学館 東京 | jawiki_search:世田谷文学館 | nearby_wikidata:35.66696657636468,139.60848870874673,1200m","24","Q11362100:109:accepted: | Q11362088:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q97172938:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11362090:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q231645:19:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far | Q276260:14:rejected:weak_name_evidence+non_place_entity_type_incompatible | Q1865249:14:rejected:substring_only_name_evidence+non_place_entity_type_incompatible | Q11619449:14:rejected:weak_name_evidence+museum_entity_type_incompatible | Q2717793:11:rejected:weak_name_evidence+business_entity_type_incompatible+coordinates_too_far | Q96741865:11:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far | Q11604497:11:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far | Q11391065:11:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far | Q841868:11:rejected:weak_name_evidence+business_entity_type_incompatible+coordinates_too_far | Q11284987:11:rejected:weak_name_evidence+business_entity_type_incompatible+coordinates_too_far | Q11362078:11:rejected:weak_name_evidence+business_entity_type_incompatible+coordinates_too_far | Q97200728:6:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far | Q11668698:6:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far | Q11625161:6:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far | Q4496530:6:rejected:weak_name_evidence+business_entity_type_incompatible+coordinates_too_far | Q11405663:6:rejected:weak_name_evidence+closed_or_destroyed_entity_incompatible+coordinates_too_far | Q108829188:5:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far | Q106645527:0:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far | Q108737611:0:rejected:weak_name_evidence+museum_entity_type_incompatible+coordinates_too_far | Q108813925:0:rejected:weak_name_evidence+business_entity_type_incompatible+coordinates_too_far","museum in Setagaya, Tokyo, Japan","true","CC BY-SA 4.0","松茸 — CC BY-SA 4.0","verified_wikidata_entity | english_wikipedia_article | japanese_wikipedia_article | language_sitelinks | wikimedia_commons | wikidata_official_website | notable_entity_type","fsq_base_travel_score:36.480000000000004 | capped_objective_prominence:11.2 | category_significance:24 | geographic_relevance:10 | name_quality:6","","87.7","verified"
"eligibility_batch","high_wikimedia_likelihood","3","250","500","749","250","284","4b7785acf964a520a99f2ee3","台東区環境ふれあい館ひまわり","","culture","tokyo_core","high_wikimedia_likelihood","eligibility_high_batch_003","","Q112628419","","","0.316","67.95064746317806","400","building_or_individual_attraction_400m","wikidata_ja:台東区環境ふれあい館ひまわり | wikidata_alternate:台東区環境ふれあい館ひまわり 東京 | jawiki_search:台東区環境ふれあい館ひまわり | nearby_wikidata:35.70376735249148,139.78968674359334,1200m","25","Q112628419:31:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11411959:31:rejected:weak_name_evidence+business_entity_type_incompatible | Q112228351:31:rejected:weak_name_evidence+museum_entity_type_incompatible | Q112220116:31:rejected:weak_name_evidence+museum_entity_type_incompatible | Q106836719:31:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11621884:31:rejected:weak_name_evidence+museum_entity_type_incompatible | Q107391068:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q112348:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q112220795:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q6445562:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q106852394:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q107137105:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11621891:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q107391065:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q106674412:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q112158466:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q105009567:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q111121625:20:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11279668:19:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11411958:19:rejected:weak_name_evidence+business_entity_type_incompatible+coordinates_too_far | Q11411952:19:rejected:weak_name_evidence+museum_entity_type_incompatible | Q1156696:14:rejected:weak_name_evidence+non_place_entity_type_incompatible | Q11505620:14:rejected:weak_name_evidence+museum_entity_type_incompatible | Q111121664:12:rejected:weak_name_evidence+museum_entity_type_incompatible | Q111121628:12:rejected:weak_name_evidence+museum_entity_type_incompatible","","false","","","","fsq_base_travel_score:36.480000000000004 | capped_objective_prominence:0 | category_significance:24 | geographic_relevance:10 | name_quality:6","","76.5","rejected"
"eligibility_batch","high_wikimedia_likelihood","3","250","500","749","250","285","4b7e0a68f964a5205fe02fe3","国学発祥之地","","culture","tokyo_core","high_wikimedia_likelihood","eligibility_high_batch_003","","Q4059219","","","0.531","106.87204587433519","800","historic_or_market_800m","wikidata_ja:国学発祥之地 | wikidata_alternate:国学発祥之地 東京 | jawiki_search:国学発祥之地 | nearby_wikidata:35.70145932520837,139.76755142211914,1200m","24","Q4059219:52:rejected:weak_name_evidence | Q133890397:38:rejected:weak_name_evidence | Q28687157:31:rejected:weak_name_evidence+business_entity_type_incompatible | Q717682:31:rejected:weak_name_evidence+landmark_entity_type_incompatible | Q11590538:26:rejected:weak_name_evidence+landmark_entity_type_incompatible | Q11263385:26:rejected:weak_name_evidence+business_entity_type_incompatible | Q1760591:26:rejected:weak_name_evidence+landmark_entity_type_incompatible | Q30265998:26:rejected:weak_name_evidence+landmark_entity_type_incompatible | Q30923717:26:rejected:weak_name_evidence+non_place_entity_type_incompatible | Q60761534:26:rejected:weak_name_evidence+non_place_entity_type_incompatible | Q60987621:23:rejected:weak_name_evidence+landmark_entity_type_incompatible | Q48763531:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q81916367:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q3347175:23:rejected:weak_name_evidence+landmark_entity_type_incompatible | Q11283247:18:rejected:weak_name_evidence+non_place_entity_type_incompatible | Q11447192:18:rejected:weak_name_evidence+landmark_entity_type_incompatible | Q17229649:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q11524584:18:rejected:weak_name_evidence+landmark_entity_type_incompatible | Q20038421:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q495330:14:rejected:weak_name_evidence+landmark_entity_type_incompatible+coordinates_too_far | Q11580997:14:rejected:weak_name_evidence+landmark_entity_type_incompatible | Q1334955:14:rejected:weak_name_evidence+landmark_entity_type_incompatible | Q17210185:14:rejected:weak_name_evidence+landmark_entity_type_incompatible+coordinates_too_far | Q100968409:12:rejected:weak_name_evidence+landmark_entity_type_incompatible","","false","","","","fsq_base_travel_score:36.480000000000004 | capped_objective_prominence:0 | category_significance:24 | geographic_relevance:10 | name_quality:6","","76.5","rejected"
"eligibility_batch","high_wikimedia_likelihood","3","250","500","749","250","286","4b8c83c6f964a5209cd432e3","日本製紙ペーパーギャラリー","","culture","tokyo_core","high_wikimedia_likelihood","eligibility_high_batch_003","","Q1359908","","","0.367","216.92496090917166","400","building_or_individual_attraction_400m","wikidata_ja:日本製紙ペーパーギャラリー | wikidata_alternate:日本製紙ペーパーギャラリー 東京 | jawiki_search:日本製紙ペーパーギャラリー | nearby_wikidata:35.69184136086982,139.75644568856004,1200m","25","Q1359908:36:rejected:weak_name_evidence | Q11599268:31:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11329479:31:rejected:weak_name_evidence+business_entity_type_incompatible | Q80564:31:rejected:weak_name_evidence+business_entity_type_incompatible | Q11508920:26:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11506858:26:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11659359:26:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11599266:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q3347238:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11421246:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11392765:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q6452072:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q6452071:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q65945187:20:rejected:weak_name_evidence+museum_entity_type_incompatible | Q5367225:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q4346622:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11446734:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11601077:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q20042542:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q57251026:17:rejected:weak_name_evidence+museum_entity_type_incompatible | Q571:14:rejected:substring_only_name_evidence+non_place_entity_type_incompatible | Q83357:14:rejected:weak_name_evidence+non_place_entity_type_incompatible | Q11531597:14:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11310519:14:rejected:weak_name_evidence+business_entity_type_incompatible | Q282150:14:rejected:weak_name_evidence+business_entity_type_incompatible","","false","","","","fsq_base_travel_score:36.480000000000004 | capped_objective_prominence:0 | category_significance:24 | geographic_relevance:10 | name_quality:6","","76.5","rejected"
"eligibility_batch","high_wikimedia_likelihood","3","250","500","749","250","31","4b8dcbd2f964a520250e33e3","旧台徳院霊廟惣門","Taitoku-in Mausoleum gate","culture","tokyo_core","high_wikimedia_likelihood","eligibility_high_batch_003","Q113385105","Q113385105","","","0.918","20.670279112713278","800","historic_or_market_800m","wikidata_ja:旧台徳院霊廟惣門 | wikidata_alternate:旧台徳院霊廟惣門 東京 | jawiki_search:旧台徳院霊廟惣門 | nearby_wikidata:35.65615445501532,139.7499258642725,1200m","23","Q113385105:90:accepted: | Q249139:49:rejected:weak_name_evidence | Q11614668:41:rejected:weak_name_evidence | Q42311591:39:rejected:weak_name_evidence+landmark_entity_type_incompatible | Q11344097:31:rejected:weak_name_evidence+business_entity_type_incompatible | Q123123788:30:rejected:weak_name_evidence | Q24869575:26:rejected:weak_name_evidence+landmark_entity_type_incompatible | Q905609:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q11614601:23:rejected:weak_name_evidence+landmark_entity_type_incompatible | Q54152985:23:rejected:weak_name_evidence+landmark_entity_type_incompatible | Q190088:23:rejected:weak_name_evidence+landmark_entity_type_incompatible | Q11563034:23:rejected:weak_name_evidence+business_entity_type_incompatible | Q61877324:20:rejected:weak_name_evidence+landmark_entity_type_incompatible | Q10856360:19:rejected:substring_only_name_evidence+landmark_entity_type_incompatible | Q21654537:18:rejected:weak_name_evidence+landmark_entity_type_incompatible | Q10530734:18:rejected:weak_name_evidence+closed_or_destroyed_entity_incompatible | Q137939284:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q3266956:17:rejected:weak_name_evidence+landmark_entity_type_incompatible | Q139816081:17:rejected:weak_name_evidence+landmark_entity_type_incompatible | Q131925704:17:rejected:weak_name_evidence+landmark_entity_type_incompatible | Q5358797:14:rejected:weak_name_evidence+landmark_entity_type_incompatible | Q11655898:14:rejected:weak_name_evidence+landmark_entity_type_incompatible | Q106411788:12:rejected:weak_name_evidence+business_entity_type_incompatible","building in Tokyo, Japan","true","CC BY 3.0","teki photo — CC BY 3.0","verified_wikidata_entity | language_sitelinks | wikimedia_commons","fsq_base_travel_score:36.480000000000004 | capped_objective_prominence:5.1 | category_significance:24 | geographic_relevance:10 | name_quality:6","","81.6","verified"
"eligibility_batch","high_wikimedia_likelihood","3","250","500","749","250","18","4b8df872f964a520e81433e3","憲政記念館","Parliamentary Museum","culture","tokyo_core","high_wikimedia_likelihood","eligibility_high_batch_003","Q11495238","Q11495238","憲政記念館","","1","6.999054020949744","400","building_or_individual_attraction_400m","wikidata_ja:憲政記念館 | wikidata_alternate:憲政記念館 東京 | jawiki_search:憲政記念館 | nearby_wikidata:35.678270084838395,139.74699765443802,1200m","22","Q11495238:109:accepted: | Q477675:26:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11625976:26:rejected:weak_name_evidence+museum_entity_type_incompatible | Q1197269:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11363649:23:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11508443:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11658575:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q2558164:18:rejected:weak_name_evidence+business_entity_type_incompatible | Q11421239:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q548911:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q17221580:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q28689605:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11515702:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q1338856:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q111014994:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q1142255:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q1376196:18:rejected:weak_name_evidence+museum_entity_type_incompatible | Q132858981:17:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11547823:14:rejected:weak_name_evidence+museum_entity_type_incompatible | Q11559121:14:rejected:weak_name_evidence+museum_entity_type_incompatible | Q136809799:12:rejected:weak_name_evidence+museum_entity_type_incompatible | Q117474709:12:rejected:weak_name_evidence+museum_entity_type_incompatible","東京都千代田区にある展示施設","true","CC BY 2.5","663highland — CC BY 2.5","verified_wikidata_entity | japanese_wikipedia_article | language_sitelinks | wikimedia_commons | wikidata_official_website | notable_entity_type","fsq_base_travel_score:36.480000000000004 | capped_objective_prominence:8.743458750793272 | category_significance:24 | geographic_relevance:10 | name_quality:6","","85.2","verified"
